diagnosis_code,en_name ,ar_name ,category
,Primary neoplasms of brain,الأورام الأولية في الدماغ,Neoplasms
,Gliomas of brain,الأورام الدبقية في الدماغ,Neoplasms
,Glioblastoma of brain,الورم الأرومي الدبقي في الدماغ,Neoplasms
,Other specified gliomas of brain,الأورام الدبقية المحددة الأخرى في الدماغ,Neoplasms
,"Gliomas of brain, unspecified",الأورام الدبقية في الدماغ غير محددة تقريبا,Neoplasms
,Embryonal tumours of brain,أورام الدماغ الجنينية,Neoplasms
,Medulloblastoma of brain,الورم الأرومي النخاعي في الدماغ,Neoplasms
,Central primitive neuroectodermal tumour,ورم الأديم العصبي البدائي المركزي,Neoplasms
,Other specified embryonal tumours of brain,أورام جنينية محددة أخرى في الدماغ,Neoplasms
,"Embryonal tumours of brain, unspecified",أورام الدماغ الجنينية غير المحددة,Neoplasms
,Tumours of neuroepithelial tissue of brain,أورام الأنسجة الظهارية العصبية في الدماغ,Neoplasms
,Tumours of the pineal gland or pineal region,أورام الغدة الصنوبرية أو منطقة الصنوبر,Neoplasms
,Mixed neuronal-glial tumours,الأورام العصبية الدبقية المختلطة,Neoplasms
,Choroid plexus tumours,أورام الضفيرة المشيمية,Neoplasms
,"Other specified tumours of neuroepithelial
tissue of brain","أورام أخرى محددة من الظهارة العصبية
أنسجة الدماغ",Neoplasms
,"Tumours of neuroepithelial tissue of brain,
unspecified","أورام الأنسجة الظهارية العصبية في الدماغ ،
محدد",Neoplasms
,Central neurocytoma of brain,الورم العصبي المركزي للدماغ,Neoplasms
,Astroblastoma of the brain,الورم الأرومي النجمي في الدماغ,Neoplasms
,"Primary neoplasm of brain of unknown or
unspecified type","الورم الأولي في الدماغ غير معروف أو
نوع غير محدد",Neoplasms
,Primary neoplasms of meninges,الأورام الأولية للسحايا,Neoplasms
,Meningiomas,الأورام السحائية,Neoplasms
,Primary malignant meningioma,الورم السحائي الخبيث الأولي,Neoplasms
,Other specified meningiomas,الأورام السحائية المحددة الأخرى,Neoplasms
,"Meningiomas, unspecified",الأورام السحائية غير المحددة تقريبا,Neoplasms
,Mesenchymal tumours of meninges,أورام السحايا الوسيطة,Neoplasms
,"Primary neoplasm of meninges of unknown or
unspecified type","الورم الأولي للسحايا غير المعروف أو
نوع غير محدد",Neoplasms
,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",الورم الأولي للحبل الشوكي أو الأعصاب القحفية أو الأجزاء المتبقية من الجهاز العصبي المركزي,Neoplasms
,"Gliomas of spinal cord, cranial nerves or other parts of the central nervous system",الأورام الدبقية في الحبل الشوكي أو الأعصاب القحفية أو أجزاء أخرى من الجهاز العصبي المركزي,Neoplasms
