International non-proprietary name (INN)-8-mg/4ml-Dosage form,Proprietary (Trade) name,Prescribing level,Pre-AuthorizationProtocol
Alpha amylase 20000/Orally,MEDMYLEZEN 100 ML syrup,طبيب أسرة,No
Alpha amylase 20000/Orally,Maxilase 100 ML syrup,طبيب أسرة,No
Escin 40/Orally,Reparil 40 mg 40 tab,طبيب أسرة,No
Escin 40/Orally,Reparil 40 mg 10 tab,طبيب أسرة,No
Trypsin + Chymotrypsin 200/40Orally,Newbezim 20 tab,طبيب أسرة,No
Trypsin + Chymotrypsin 200/40Orally,Newbezim 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,AGGREX 75 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,AGGREX 75 mg 60 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Alexoprine 75 mg 50 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Alexoprine 75 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Aspocid 75 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Aspocid 75 mg 20 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Aspocid 75 mg 30 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Aspocid 75 mg Chewable 30 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Rivo 75 mg 30 tab,طبيب أسرة,No
Acetylsalicylic Acid 75/Orally,Rivo 75 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 81/Orally,Aspico 81 mg 30 chewable tab,طبيب أسرة,No
Acetylsalicylic Acid 81/Orally,Aspico 81 mg 10 chewable tab,طبيب أسرة,No
Acetylsalicylic Acid 81/Orally,Aspricarlo 81 mg 30 chewable tab,طبيب أسرة,No
Acetylsalicylic Acid 81/Orally,Aspricarlo 81 mg 10 chewable tab,طبيب أسرة,No
Acetylsalicylic Acid 81/Orally,Jusprin 81 mg 60 tab,طبيب أسرة,No
Acetylsalicylic Acid 81/Orally,Jusprin 81 mg 20 tab,طبيب أسرة,No
Acetylsalicylic Acid 100/Orally,Rivo 100 mg 20 tab,طبيب أسرة,No
Acetylsalicylic Acid 100/Orally,Rivo 100 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 100/Orally,ASPIRIN PROTECT 100 mg 20 tab,طبيب أسرة,No
Acetylsalicylic Acid 100/Orally,ASPIRIN PROTECT 100 mg 30 tab,طبيب أسرة,No
Acetylsalicylic Acid 100/Orally,ASPIRIN PROTECT 100 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 300/Orally,Alexoprine forte 300 mg 200 tab,طبيب أسرة,No
Acetylsalicylic Acid 300/Orally,Alexoprine forte 300 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 300/Orally,ASPOCID 300 mg 200 tab,طبيب أسرة,No
Acetylsalicylic Acid 300/Orally,ASPOCID 300 mg 10 tab,طبيب أسرة,No
Acetylsalicylic Acid 320/Orally,RIVO 320 mg 200 tab,طبيب أسرة,No
Acetylsalicylic Acid 320/Orally,RIVO 320 mg 10 tab,طبيب أسرة,No
Aceclofenac 100/Orally,Fenac 100 mg 30 tab,طبيب أسرة,No
Aceclofenac 100/Orally,Fenac 100 mg 10 tab,طبيب أسرة,No
Diclofenac Potassium 2/Orally,CATAFLY 10mg/5ml 140 ml syrup,طبيب أسرة,No
Diclofenac Potassium 25/Orally,Adwiflam 25 mg 20 tab,طبيب أسرة,No
Diclofenac Potassium 25/Orally,Adwiflam 25 mg 10 tab,طبيب أسرة,No
Diclofenac Potassium 25/Orally,Antiflam 25 mg 20 tab,طبيب أسرة,No
Diclofenac Potassium 25/Orally,Antiflam 25 mg 10 tab,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Dicloflam 50mg 10 tab,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Vastaflam 50mg 20 tab,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Vastaflam 50mg 10 tab,طبيب أسرة,No
Diclofenac Potassium 50/Orally,RAPIDUS 50 mg 20 tab,طبيب أسرة,No
Diclofenac Potassium 50/Orally,RAPIDUS 50 mg 10 tab,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Diclowad 50 mg 12 sachet,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Diclowad 50 mg 1 sachet,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Flash Act 50 mg 9 sachet,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Flash Act 50 mg 1 sachet,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Declophen Fast 50 mg 10 sachet,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Declophen Fast 50 mg 30 sachet,طبيب أسرة,No
Diclofenac Potassium 50/Orally,Declophen Fast 50 mg 1 sachet,طبيب أسرة,No
Diclofenac Potassium 25/I.M,Adwiflam 75 mg/3ml 6 amp,طبيب أسرة,No
Diclofenac Potassium 25/I.M,Adwiflam 75 mg/3ml 1 amp,طبيب أسرة,No
Diclofenac Potassium 25/I.M,DOLPHIN K 75 mg/3ml 3 amp,طبيب أسرة,No
Diclofenac Potassium 25/I.M,DOLPHIN K 75 mg/3ml 6 amp,طبيب أسرة,No
Diclofenac Potassium 25/I.M,DOLPHIN K 75 mg/3ml 1 amp,طبيب أسرة,No
Diclofenac Sodium 25/Rectal,EPIFENAC 12.5 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 12.5/Rectal,DECLOPHEN 12.5 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 25/Rectal,Epifenac 25 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 25/Rectal,DECLOPHEN 25 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 50/Rectal,Dolphin 50 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 50/Rectal,Dolphin 50 mg 10 supp,طبيب أسرة,No
Diclofenac Sodium 50/Rectal,EPIFENAC 50 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 100/Rectal,EPIFENAC 100 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 100/Rectal,DECLOPHEN 100 mg 5 supp,طبيب أسرة,No
Diclofenac Sodium 25/Orally,EPIFENAC 25 mg 10 tab,طبيب أسرة,No
Diclofenac Sodium 25/Orally,EPIFENAC 25 mg 20 tab,طبيب أسرة,No
Diclofenac Sodium 50/Orally,Epifenac 50 mg 20 tab,طبيب أسرة,No
Diclofenac Sodium 50/Orally,Epifenac 50 mg 10 tab,طبيب أسرة,No
Diclofenac Sodium 50/Orally,DECLOFENAC 50 mg 20 Tab,طبيب أسرة,No
Diclofenac Sodium 50/Orally,DECLOFENAC 50 mg 10 Tab,طبيب أسرة,No
Diclofenac Sodium 75/Orally,EPIFENAC 75 mg 10 tab,طبيب أسرة,No
Diclofenac Sodium 75/Orally,DICLAC 75mg ID 10 tab,طبيب أسرة,No
Diclofenac Sodium 75/Orally,DICLAC 75mg ID 20 tab,طبيب أسرة,No
Diclofenac Sodium 50/25Orally,DIVIDO D.R. 75 mg 20 tab,طبيب أسرة,No
Diclofenac Sodium 50/25Orally,DIVIDO D.R. 75 mg 30 tab,طبيب أسرة,No
Diclofenac Sodium 100/Orally,Epifenac SR 100 mg 10 tab,طبيب أسرة,No
Diclofenac Sodium 100/Orally,DECLOPHEN S.R. 100 mg 8 cap,طبيب أسرة,No
Diclofenac Sodium 100/Orally,Fenaclomex 100mg 10 tab,طبيب أسرة,No
Diclofenac Sodium 100/Orally,voltaren SR 100 mg 20 tab,طبيب أسرة,No
Diclofenac Sodium 100/Orally,voltaren SR 100 mg 10 tab,طبيب أسرة,No
Diclofenac Sodium 150/Orally,Protofenac 150 mg 10 tab,طبيب أسرة,No
Diclofenac Sodium 150/Orally,DICLAC 150mg ID 10 tab,طبيب أسرة,No
Diclofenac Sodium 150/Orally,DICLAC 150mg ID 20 tab,طبيب أسرة,No
Diclofenac Sodium 150/Orally,DICLAC 150mg ID 14 tab,طبيب أسرة,No
Diclofenac Sodium 150/Orally,DICLAC 150mg ID 7 tab,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Epifenac 75 mg/3 ml 3 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Romalex 75 mg/3ml 3 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Romalex 75 mg/3ml 6 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Romalex 75 mg/3ml 1amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Diclofenac Sodium-DGP 75 mg/3ml  6 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Diclofenac Sodium-DGP 75 mg/3ml  1 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Zacaglone 75 mg/3ml 3 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",Zacaglone 75 mg/3ml 1amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",DECLOPHEN 75mg/3ml 3 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",DECLOPHEN 75mg/3ml 6 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",DECLOPHEN 75mg/3ml amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",PHAROFEN 75mg/3ml 4 amp ,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",PHAROFEN 75mg/3ml amp ,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",RHEUMARENE  75mg/3ml 3 amp,طبيب أسرة,No
"Diclofenac Sodium 75/I.M, I.V infusion",RHEUMARENE  75mg/3ml amp,طبيب أسرة,No
Diclofenac Sodium 75/20I.M,VOLTINAC  75 mg 2 amp,طبيب أسرة,No
Diclofenac Sodium 75/20I.M,VOLTINAC  75 mg amp,طبيب أسرة,No
Diclofenac Epolamine 65/Orally,Flector 50 mg 10 cap,طبيب أسرة,No
Diclofenac Epolamine 65/Orally,Flector 50 mg 30 cap,طبيب أسرة,No
Indometacin 100/Rectal,INDACIN 100mg 5 supp,طبيب أسرة,No
Indometacin 100/Rectal,INDACIN 100mg 10 supp,طبيب أسرة,No
Indometacin 100/Rectal,Indometacin  100 mg 10 supp BP 2022,طبيب أسرة,No
Indometacin 100/Rectal,Indometacin  100 mg 5 supp BP 2022,طبيب أسرة,No
"Indometacin 25/I.M, I.V",LIOMETACIN 50 mg2ml 6 amp ,طبيب أسرة,No
"Indometacin 25/I.M, I.V",LIOMETACIN 50 mg/2ml amp ,طبيب أسرة,No
Piroxicam 20/Rectal,DISPERCAM 20 mg 5 supp,طبيب أسرة,No
Piroxicam 10/Orally,DISPERCAM 10 mg 20 tab,طبيب أسرة,No
Piroxicam 10/Orally,DISPERCAM 10 mg 10 tab,طبيب أسرة,No
Piroxicam 10/Orally,Inflacam 10 mg 20 Dispersible Tablets,طبيب أسرة,No
Piroxicam 10/Orally,Inflacam 10 mg 10 Dispersible Tablets,طبيب أسرة,No
Piroxicam 10/Orally,Inflacam 10 mg 20 Cap,طبيب أسرة,No
Piroxicam 10/Orally,Inflacam 10 mg 10 Cap,طبيب أسرة,No
Piroxicam 20/Orally,DISPERCAM 20 mg 10 tab,طبيب أسرة,No
Piroxicam 20/Orally,Inflacam 20 mg 10 Dispersible Tab,طبيب أسرة,No
Piroxicam 20/Orally,Inflacam 20 mg 10 Cap,طبيب أسرة,No
Piroxicam 20/Orally,Brexin 20 mg 10 tab,طبيب أسرة,No
