uhia_code ,ar_name,en_name ,category,,,,,,,,,,,,,,,,,,
UHIA-0002,"إقامة المنتفعين بالدرجة التأمينية
غرفة ثلاثية + حمام-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة)",Accommodation Triple Room,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-0001,"إقامة المنتفعين بالدرجة التأمينية
غرفة مزدوجة + حمام-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة)",Accommodation Double Room,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-2489,إقامة نهارية-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة),Day Case Accomodation,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-0004,الرعاية المتوسطة-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة),Intermediate Care Unit,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-0003,الرعاية المركزة-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة),ICU - Adult,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-0005,الرعاية المركزة للأطفال -الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة),PICU - Pediatric Intensive Unit,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-0006,رعاية المواليد أو المبتسرين (غير شامل قيمة اللبن في حالة الرضاعة الصناعية),NICU - Neonatal Pediatric Incentive Units,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-3639,إقامة بغرفة العزل العادية-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة),Isolation room,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-3640,إقامة بغرفة العزل - عناية مركزة-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة),Isolation room -ICU,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-3641,إقامة بغرفة العزل - لجلسات اليود المشع-الاقامة تشمل ( الرعاية التمريضية - الاشراف الطبي - مرور الاستشاري - الوجبة),Isolation room - Radioactive Iodine (I-131) Therapy,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-0017,علاج ضوئي (حديث الولادة),Phototherapy- Neonatal,الإقامة,,,,,,,,,,,,,,,,,,
UHIA-0025,استدعاء للطبيب الاستشاري,Consultant'S Call,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-0024,استدعاء للطبيب الأخصائي ,Specialist'S Call,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2490,إنعاش قلبى رئوى كبار,CPR - Adult,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2491,إنعاش قلبى رئوى مبتسرين,CPR - Neonatal,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2492,إنعاش قلبى رئوى أطفال,CPR - Pediatric,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2493,تركيب أنبوبة رايل ( بقسم الطوارئ),Ryle Tube Insertion,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2494,تركيب أنبوبة صدر,Percutaneous Chest Tube Insertion,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-0016,تركيب قسطرة سرة (مواليد أو مبتسرين),Insertion Of Umbilical Catheter,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2495,تركيب قسطرة وريد مركزى أطفال,CVP Insertion - Pediatric,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2496,تركيب قسطرة وريد مركزى كبار,CVP Insertion - Adult,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-0012,تغيير الدم للمواليد أو المبتسرين بخلاف سعر  كيس الدم,Exchange Transfusion ( Pediatric Or Neonatal),خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2497,جلسة نيبولايزر ( غير شامل المستهلكات والأدوية),Nebuliser Session ( Consumable & Drug Not Included ),خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2498,استخدام جهاز صدمات,DC Shock,خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-0010,رسم استخدام جهاز أشعة متنقلة بخلاف سعر الاشعة,Portable X-Ray,أستخدام أجهزة بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-0008,رسم استخدام جهاز تنفس صناعي اطفال + مبتسرين,Ventilator ( Pediatric Or Neonatal),أستخدام أجهزة بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-0007,رسم استخدام جهاز تنفس صناعي كبار,Ventilator - Adult,أستخدام أجهزة بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-2499,رسم إستخدام أكسجين كل ساعه,Oxygen Usage ( Per Hour ),خدمات بالقسم الداخلي,,,,,,,,,,,,,,,,,,
UHIA-0019,البلازما الطازجة المجمدة (مصاريف عملية النقل ويضاف سعر الدم ومشتقاته وفقاً للفاتورة الضريبية لمصدر الشراء ),Fresh Frozen Plasma,بنك الدم,,,,,,,,,,,,,,,,,,
UHIA-0020,البلازما المجمدة (مصاريف عملية النقل ويضاف سعر الدم ومشتقاته وفقاً للفاتورة الضريبية لمصدر الشراء ),Frozen Plasma,بنك الدم,,,,,,,,,,,,,,,,,,
UHIA-0021,الصفائح الدموية ( 6 وحدات ) (مصاريف عملية النقل ويضاف سعر الدم ومشتقاته وفقاً للفاتورة الضريبية لمصدر الشراء ),Platlets 6 Unit,بنك الدم,,,,,,,,,,,,,,,,,,
UHIA-0023,الصفائح الدموية المفلترة (الوحدة) (مصاريف عملية النقل ويضاف سعر الدم ومشتقاته وفقاً للفاتورة الضريبية لمصدر الشراء ),Filtered Platelet Count,بنك الدم,,,,,,,,,,,,,,,,,,
UHIA-0022,الكرايو (مصاريف عملية النقل ويضاف سعر الدم ومشتقاته وفقاً للفاتورة الضريبية لمصدر الشراء ),Cryoprecipitate,بنك الدم,,,,,,,,,,,,,,,,,,
UHIA-0018,كرات دم حمراء مكدسة او كيس دم (مصاريف عملية النقل ويضاف سعر الدم ومشتقاته وفقاً للفاتورة الضريبية لمصدر الشراء ),Packed Rbcs Or Blood Unit,بنك الدم,,,,,,,,,,,,,,,,,,
UHIA-0110,استئصال ظفر غائر باللحم .,Excision Of Ingrowing Toe Nail,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0107,اصلاح الجروح أكثر من 5 سم,Repair Of Skin And Subcutaneous Cell Tissue,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0106,الفتحات الخارجية للخراريج السطحية الكبري .,Drainage Of Superficial Abscess - Large,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0105,الفتحات الخارجية للخراريج السطحية المتوسطة .,Drainage Of Superficial Abscess - Medium,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0108,طهارة الأطفال,Male Circumcision,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0101,اخذ عينة من الكبد .,Biopsy Of Liver,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0097,استخراج حصوة من القناة اللعابية بالفم تحت مخدر عام ,Extraction Of Calculus From Salivary Gland Or Duct,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0084,استئصال الزائدة الدودية (اجراء مفتوح),Appendicectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0085,استئصال الزائدة الدودية (منظار جراحي),Laparoscopic Appendicectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0095,استئصال الصفن .,Total Excision Of Scrotum,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0093,استئصال خصية .,Orchidectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0094,استئصال دوالي خصية بجهة واحدة .,Varicocelectomy (Unilateral),صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0102,استئصال قيلة مائية,Hydrocele Repair (Hydrocelectomy),صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0092,استئصال ناسور عصعصي,Pilonidal Sinus Excision,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0090,اصلاح سقوط شرجي جزئي ,Repair Of Partial Rectal Prolapse,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0088,اصلاح فتق اربي,Repair Of Inguinal Hernia,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0086,إستئصال البواسير,Haemorrhoidectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0100,تنظيف قدم سكري.,Debridement Of Diabetic Foot,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0091,شرخ شرجي.,Anal Fissurectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-2500,فتح خراج بجوار الالية,Drainage Abscess-Gluteal,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-2501,فتح خراج بجوار الثدي,Drainage Abscess- Breast,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-2502,فتح خراج بجوار الشرج,Drainage Abscess-Anal,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0074,ناسور شرجي عالي أو مرتجع ,Excision Of High Anal Fistula Or Recurrent,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0089,ناسور شرجي منخفض ,Excision Of Low Anal Fistula,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0076,استخراج جسم غريب من البطن .,Removal Of Foreign Body From Abdomen,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0068,استكشاف البطن,Exploratory Laparotomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0071,استئصال النواسير و الأكياس الخلقية بالرقبة .,Excision Congenital Fistula Of Head Or Neck,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0073,استئصال دوالي الخصيتين علي الجهتين,Varicocelectomy Bilateral,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0070,إصلاح فتق مرتجع بدون تركيب شبكة .,Revision of Hernial repair without mesh,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0214,بتر تحت الركبة .,"Amputation, Below Knee",صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0215,بتر فوق الركبة,"Amputation, Above Knee",صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0620,تثبيت خصيه جراحيا,Orchiopexy (Unilateral),صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0083,فتح خراج داخلي بالبطن جراحيا,Drainage Of Abdominal Internal Abscess Open Approach,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0069,منظار البطن التشخيصي ,Diagnostic Laparoscopy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0103,عينة من اللسان .,Biopsy Of Tongue,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0075,ناسور عصعصي مرتجع.,Pilonidal Sinus Excision - Recurrent,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0059,استئصال الغدة اللعابية تحت الفكية .,Submandibular Sialadenectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0056,استئصال المرارة بالمنظار .,Laparoscopic Cholecystectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0055,استئصال المرارة جراحيا .,Cholecystectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0064,استئصال وتوصيل الامعاء .,Resection Anastomosis Of Small Bowel,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0066,اصلاح فتق الحجاب الحاجز جراحيا,Repair Of Diaphragm Open Approach,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0058,تصليح فتق مع تركيب شبكة .,Hernioplasty,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0065,ربط قرحة نازفة بالمعدة والاثني عشر .,Upper Git Endoscopy + Bleeding Ulcer Ligation,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0067,عمليات اصلاح تمزق الكبد,Repair Of Liver,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0060,استئصال الطحال .,Splenectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0034,استئصال جزئي للمعدة مع اعادة التوصيل,Partial Gastrectomy With Anastomosis,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0042,استئصال الغدة جار درقية ,Parathyroidectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0578,استئصال الغدة فوق الكلى ,Adrenalectomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0038,استئصال جزئي للقولون مع اعادة التوصيل ,Partial Excision Of Colon With Anastomosis Of Colon,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0039,استئصال كلى للقولون مع اعادة التوصيل ,Total Colectomy With Anastomosis Of Colon,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0050,إصلاح اكاليزيا المريء .,Dilatation Of Oesophagus,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0044,تصليح سقوط شرجي كامل من البطن ,Abdominal Rectopexy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0047,تصليح فتق الحجاب الحاجز بمنظار البطن الجراحي.,Laparoscopic Repair Of Diaphragmatic Hernia,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0040,جراحة استكشاف القنوات المرارية وتوصيل القنوات المرارية ,Exploration Of Bile Duct With Choledochoenterostomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-2503,جراحة استكشاف القنوات المرارية وعدم توصيل القنوات المرارية ,Laparoscopic Exploration Of Common Bile Duct Without Choledochoenterostomy,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0032,السلس البرازي بتحريك أو نقل عضلات.,Sphincteroplasty For Anal Incontinence,صفقات الجراحة العامة,,,,,,,,,,,,,,,,,,
UHIA-0140,استئصال الفص السطحي للغدة اللعابية الكبرى,Superficial Parotidectomy,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0139,استئصال للورم بالثدي,Local Excision Of Lesion Of Breast Tumor,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0135,استئصال الغدة اللعابية الكبرى,Parotid Sialadenectomy,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0136,استئصال اورام الجلد الخبيثة,Radical Excision Of Skin Malignant Tumor,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0134,استئصال جزئي / نصفي للغدة الدرقية,Hemithyroidectomy,صفقات الانف و الاذن والحنجرة,,,,,,,,,,,,,,,,,,
UHIA-0118,استئصال جذري للثدي + الغدد الليمفاوية,Radical Mastectomy With Lymph Node,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0119,استئصال جذري للغدة الدرقية ,Total thyroidectomy,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0201,استئصال الغدد أعلى الفخذ,Total excision of inguinal lymph node,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-2504,استئصال للورم بالثدي + الغدد الليمفاوية (جراحة تحفظي للثدي ),Local Excision Of Lesion Of Breast With Excision Lymph Node Of Axilla (Conserving Breast Surgery),صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-2505,استئصال ورم بالقولون الايسر بدون دباسات,Excision Of Left Sided Colon Tumor With Stapler,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-2506,استئصال ورم بالقولون الايمن بدون دباسات ,Excision Of Right Sided Colon Tumor With Stapler,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0126,استئصال الطحال بالمنظار,Laparoscopic Total Splenectomy,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0141,استئصال الغدد الليمفاوية تحت الابط ,Axillary Lymph Nodes Dissection,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0026,استئصال المستقيم عن طريق البطن والعجان (إجراء مفتوح),Abdomino Perineal Resection Of The Rectum,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-2507,استئصال المستقيم عن طريق البطن والعجان بالمنظار,Laproscopic Excision Of Rectum,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0133,استئصال الورم + الغدة الحارسة,Excision Of Breast Tumor Ans Sentinel Lymph Node,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0115,استئصال جذري للبنكرياس مع اعادة توصيل القنوات المرارية,Wipple Operation,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-2508,استئصال جذري للمعدة بدون دباسات,Radical Gastrectomy Without Stapler,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0122,استئصال جذري للمعدة بواسطة الدباسات الجراحية,Radical Gastrectomy Using Stapler,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0036,استئصال جذري للمعدة بواسطة المنظار الجراحي,Laparoscopic Total Gastrectomy,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0125,استئصال جزئي أو فص للكبد,Partial Hepatectomy,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0124,استئصال للمريء,Total Oesophagectomy,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-2509,استئصال ورم بالقولون الايسر أو المستقيم باستخدام الدباسة بالمنظار,Endoscopic Excision Of Left Sided Colon Or Rectal Tumor With Stapler,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-2510,استئصال ورم بالقولون الايمن باستخدام الدباسة بالمنظار,Endoscopic Excision Of Right Sided Colon With Stapler,صفقات جراحة الأورام,,,,,,,,,,,,,,,,,,
UHIA-0268,تحريك المفاصل تحت مخدر عام ,Manipulation Of Joint Under General Anesthesia,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2511,حقن مفصل تحت مخدر عام,Joint Injection Under General Anesthesia,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2512,تسليك صابونة الركبة (اجراء مفتوح),Patellar Retinacular Release,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
